X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1197.2 1194.6 51.14601 34.16033 0.02451 0.01031 0.01628 0.01164 -0.01833 0.00911 15.43801 0.07987 -0.4223
321.1 1442.3 51.27274 34.13091 0.01018 0.01602 8e-05 0.00985 0.01018 0.01602 15.5431 0.08478 0.7816
242.5 836.1 51.28387 34.20325 0.02823 0.00668 -0.02368 0.00552 0.01537 0.00884 14.80294 0.06216 1.2829
235.4 264.7 51.28502 34.27154 0.05432 0.01513 0.03555 0.01039 -0.04107 0.01787 15.46475 0.08125 -0.4287
737.7 423.1 51.21195 34.25228 0.01243 0.00378 -0.01186 0.00376 0.00373 0.0039 14.27241 0.05659 1.4183
1550.0 1308.8 51.0958 34.14665 0.03025 0.01681 0.03019 0.01684 0.00193 0.01018 15.61446 0.08848 0.0319
1462.9 1613.4 51.10851 34.11067 0.00738 0.01376 -0.00723 0.0139 -0.00145 0.00973 15.48784 0.08215 -1.4719
1790.9 378.1 51.06137 34.25644 0.01859 0.00983 0.01839 0.00991 -0.00272 0.00518 14.84553 0.06293 -0.0734
524.2 1848.1 51.24368 34.08268 0.00573 0.00502 0.00546 0.00486 0.00173 0.00634 14.74559 0.06121 0.1537
315.6 538.1 51.27322 34.23882 0.02769 0.02152 0.01612 0.01507 0.02252 0.02417 15.88022 0.10534 0.4747
133.9 1679.2 51.30031 34.10256 0.02692 0.02504 0.00098 0.01184 0.0269 0.02505 15.7565 0.09698 0.7671
1370.4 725.6 51.12107 34.21581 0.07198 0.04486 -0.07005 0.04548 0.01657 0.03174 16.52551 0.17204 1.4546
124.2 1930.8 51.30206 34.07253 0.56431 0.00658 0.01036 0.00619 -0.56421 0.00658 14.6138 0.05956 -0.7762
501.2 1667.6 51.24677 34.10414 0.01912 0.01387 0.01865 0.01359 0.00421 0.01841 15.78439 0.09855 0.111
1187.1 1926.4 51.1483 34.07365 0.06871 0.00551 -0.06863 0.00552 0.00317 0.00494 14.71882 0.06082 1.5477
755.1 1834.8 51.21025 34.08436 0.02819 0.01689 0.02596 0.01675 0.011 0.01766 16.00714 0.11502 0.2004
100.8 795.9 51.30459 34.20806 0.285 0.0238 0.00099 0.01345 -0.285 0.0238 15.74468 0.09634 -0.7837
1903.5 782.6 51.04548 34.20851 0.09839 0.02798 0.09796 0.02808 0.00916 0.01301 15.87209 0.10499 0.0466
1337.6 1673.2 51.12643 34.10362 0.03722 0.04202 -0.03721 0.04202 0.00062 0.0305 16.57722 0.17907 1.5624
318.8 1309.6 51.27297 34.14673 0.00351 0.0057 -0.00299 0.00462 0.00184 0.00786 14.73111 0.06103 1.2953
