X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1227.0 1679.6 51.14492 34.1031 0.00601 0.00431 -0.00082 0.0048 -0.00595 0.0043 15.13545 0.03409 -0.8541
840.4 749.8 51.19913 34.21367 0.00616 0.00076 -0.00447 0.00074 0.00424 0.00078 12.07687 0.00939 1.1913
334.2 1315.1 51.27185 34.14718 0.00581 0.00337 0.00554 0.00321 0.00174 0.00474 14.78309 0.02551 0.1519
378.8 1714.1 51.26599 34.09988 0.02994 0.02318 0.02335 0.01888 -0.01874 0.0286 16.57264 0.1196 -0.3381
674.7 1938.4 51.22413 34.07295 0.04802 0.02969 -0.04407 0.02904 -0.01907 0.03296 16.77569 0.1425 -1.3666
246.6 270.9 51.28233 34.26988 0.03422 0.00626 0.03373 0.00611 0.00575 0.01019 15.5415 0.04848 0.0844
1354.3 1674.4 51.12659 34.10352 0.0085 0.02125 -0.00728 0.02251 -0.00438 0.01731 16.52902 0.11509 -1.2999
113.3 342.2 51.30125 34.2615 0.01888 0.03117 0.01039 0.0168 0.01576 0.03565 16.52029 0.11441 0.4938
256.1 841.9 51.28217 34.20297 0.00321 0.00402 0.00278 0.00334 -0.00161 0.00556 14.87834 0.02756 -0.2626
1390.4 475.1 51.11984 34.24567 0.00341 0.00938 0.00213 0.01114 0.00267 0.00807 15.86249 0.06418 0.4489
336.6 1447.8 51.27169 34.13148 0.00787 0.00969 -0.00185 0.00607 -0.00765 0.00986 15.6058 0.05125 -0.9043
1277.1 1696.4 51.13773 34.10102 0.02364 0.01725 0.00582 0.02136 0.02291 0.01695 16.51233 0.11342 0.661
541.6 1852.5 51.243 34.08331 0.00414 0.00426 -0.00074 0.00335 -0.00408 0.00429 14.82289 0.02632 -0.8751
1802.4 376.9 51.06015 34.25682 0.01423 0.00583 0.01343 0.00606 0.00471 0.00349 14.91631 0.02848 0.1686
748.9 427.1 51.21154 34.25165 0.01161 0.00265 -0.01041 0.00261 0.00514 0.00281 14.35041 0.0184 1.3416
327.4 543.6 51.27152 34.23799 0.03505 0.01357 0.00944 0.00845 -0.03375 0.0139 15.91247 0.0671 -0.649
110.6 404.0 51.30177 34.25428 0.02603 0.02312 -0.0029 0.01078 0.02587 0.02323 16.19043 0.08577 0.8412
772.2 1838.6 51.21016 34.08474 0.04273 0.01074 -0.0053 0.00993 0.0424 0.01075 15.99001 0.07176 0.8476
120.5 679.7 51.30096 34.222 0.0306 0.03795 -0.00954 0.01785 -0.02908 0.03951 16.57033 0.11955 -0.9438
517.6 1672.6 51.24627 34.10471 0.01649 0.00866 0.01349 0.00768 0.00949 0.01036 15.832 0.06245 0.3066
809.1 509.6 51.20314 34.24195 0.00623 0.00837 0.00151 0.00828 0.00605 0.00837 15.75873 0.05856 0.6634
1901.2 1782.2 51.04745 34.08961 0.07647 0.03571 0.05827 0.04404 -0.04952 0.01885 16.66341 0.12961 -0.3522
1917.8 620.1 51.04383 34.22794 0.0107 0.02921 0.00731 0.03869 0.00781 0.01699 16.54126 0.11663 0.409
